date,sea_level_mm,wave_height_m,wind_speed_kmh,temperature_c,salinity_ppt,ph_level,dissolved_oxygen_mg,turbidity_ntu
2024-01-01,1520.5,2.3,15.2,18.5,35.1,8.12,7.8,12.5
2024-01-02,1525.2,2.8,18.7,19.2,35.3,8.08,7.6,14.2
2024-01-03,1518.8,1.9,12.4,17.8,34.9,8.15,8.1,11.8
2024-01-04,1522.1,2.5,16.8,20.1,35.2,8.10,7.9,13.7
2024-01-05,1530.4,3.2,22.5,21.3,35.4,8.05,7.4,16.9
2024-01-06,1515.7,2.1,14.6,18.9,35.0,8.13,8.0,12.1
2024-01-07,1527.3,2.7,19.3,20.7,35.3,8.09,7.7,15.3
2024-01-08,1521.9,2.4,17.1,19.6,35.1,8.11,7.8,13.4
2024-01-09,1519.6,2.0,13.8,18.2,34.8,8.14,8.2,11.9
2024-01-10,1524.8,2.6,18.9,20.4,35.2,8.07,7.5,14.8
